シーズン,日付,ゲームタイプ,球団,ホーム・ビジター,結果,スコア,対戦球団,R,H,E,ボックススコア,回戦,球場,試合開始,試合時間,入場者,GameID
2025,2025-04-06,公式戦,東北楽天ゴールデンイーグルス,ビジター,W,5,千葉ロッテマリーンズ,5,10,0,"1,0,1,1,0,1,0,0,1",3,ZOZOマリン,14:00,02:53,26375,GAME20250406LMRE0046
2025,2025-04-06,公式戦,千葉ロッテマリーンズ,ホーム,L,0,東北楽天ゴールデンイーグルス,0,3,0,"0,0,0,0,0,0,0,0,0",3,ZOZOマリン,14:00,02:53,26375,GAME20250406LMRE0046
2025,2025-04-06,公式戦,オリックス・バファローズ,ビジター,W,6,北海道日本ハムファイターズ,6,11,0,"0,2,0,0,0,3,1,0,0",3,エスコンＦ,13:01,03:15,31896,GAME20250406NFOB0049
2025,2025-04-06,公式戦,北海道日本ハムファイターズ,ホーム,L,4,オリックス・バファローズ,4,8,0,"1,1,0,0,2,0,0,0,0",3,エスコンＦ,13:01,03:15,31896,GAME20250406NFOB0049
2025,2025-04-06,公式戦,埼玉西武ライオンズ,ビジター,L,1,福岡ソフトバンクホークス,1,10,2,"0,0,0,0,0,0,1,0,0",3,みずほPayPay,13:00,03:04,37649,GAME20250406SHSL0044
2025,2025-04-06,公式戦,福岡ソフトバンクホークス,ホーム,W,11,埼玉西武ライオンズ,11,12,3,"2,0,2,0,4,2,1,0,x",3,みずほPayPay,13:00,03:04,37649,GAME20250406SHSL0044
2025,2025-04-06,公式戦,阪神タイガース,ビジター,W,1,読売ジャイアンツ,1,2,0,"0,0,0,1,0,0,0,0,0",3,東京ドーム,13:00,02:53,41871,GAME20250406YGHT0047
2025,2025-04-06,公式戦,読売ジャイアンツ,ホーム,L,0,阪神タイガース,0,6,0,"0,0,0,0,0,0,0,0,0",3,東京ドーム,13:00,02:53,41871,GAME20250406YGHT0047
2025,2025-04-06,公式戦,中日ドラゴンズ,ビジター,W,6,東京ヤクルトスワローズ,6,8,0,"3,0,0,1,1,0,1,0,0",3,神　宮,13:30,02:59,27121,GAME20250406YSCD0045
2025,2025-04-06,公式戦,東京ヤクルトスワローズ,ホーム,L,5,中日ドラゴンズ,5,9,1,"3,1,0,0,0,1,0,0,0",3,神　宮,13:30,02:59,27121,GAME20250406YSCD0045
