date,game_id,home,away,home_score,away_score,stadium,start_time,home_elo_before,away_elo_before,home_expected_win_rate,home_elo_change,home_elo_after,away_elo_after
2025-05-24,GAME20250524CDHT0261,中日,阪神,5,4,バンテリンドーム,14:00,1469.5764274593635,1531.8762112095742,0.4607931082434738,10.784137835130526,1480.3605652944939,1521.0920733744438
2025-05-24,GAME20250524YGYS0262,巨人,ヤクルト,4,2,東京ドーム,18:00,1517.5130163910314,1425.0364998836528,0.6756416297782881,6.487167404434238,1524.0001837954658,1418.5493324792185
2025-05-25,GAME20250525CDHT0266,中日,阪神,1,5,バンテリンドーム,13:31,1480.3605652944939,1521.0920733744438,0.49175244497840037,-9.835048899568008,1470.525516394926,1530.9271222740117
2025-05-25,GAME20250525HCDB0268,広島,DeNA,3,0,マツダスタジアム,13:31,1516.2297807439431,1539.7680643124352,0.5164887547065985,9.67022490586803,1525.9000056498112,1530.0978394065671
2025-05-25,GAME20250525YGYS0267,巨人,ヤクルト,5,2,東京ドーム,14:01,1524.0001837954658,1418.5493324792185,0.6917897907954569,6.164204184090862,1530.1643879795565,1412.3851282951277
2025-05-27,GAME20250527YSCD0271,ヤクルト,中日,2,1,神　宮,18:00,1412.3851282951277,1470.525516394926,0.4667474595895721,10.665050808208559,1423.0501791033364,1459.8604655867173
2025-05-27,GAME20250527YGHC0273,巨人,広島,1,2,富　山,18:01,1530.1643879795565,1525.9000056498112,0.5562666517123884,-11.125333034247769,1519.0390549453089,1537.0253386840589
2025-05-27,GAME20250527HTDB0274,阪神,DeNA,1,0,倉　敷,18:02,1530.9271222740117,1530.0978394065671,0.5513804722537902,8.972390554924196,1539.899512828936,1521.125448851643
2025-05-28,GAME20250528YGHC0279,巨人,広島,4,1,金　沢,18:00,1519.0390549453089,1537.0253386840589,0.5244651531860647,9.510696936278705,1528.5497518815876,1527.5146417477802
2025-05-28,GAME20250528YSCD0277,ヤクルト,中日,1,4,神　宮,18:01,1423.0501791033364,1459.8604655867173,0.49739481190644097,-9.94789623812882,1413.1022828652076,1469.808361824846
2025-05-28,GAME20250528HTDB0280,阪神,DeNA,1,0,甲子園,18:02,1539.899512828936,1521.125448851643,0.5767750257119352,8.464499485761296,1548.3640123146972,1512.6609493658816
2025-05-29,GAME20250529HTDB0283,阪神,DeNA,1,5,甲子園,18:00,1548.3640123146972,1512.6609493658816,0.6003682087473924,-12.007364174947847,1536.3566481397493,1524.6683135408296
2025-05-29,GAME20250529YSCD0282,ヤクルト,中日,0,6,神　宮,18:00,1413.1022828652076,1469.808361824846,0.4688030195228611,-9.376060390457221,1403.7262224747503,1479.1844222153034
2025-05-30,GAME20250530CDYG0286,中日,巨人,1,4,バンテリンドーム,18:00,1479.1844222153034,1528.5497518815876,0.4793384014757089,-9.586768029514177,1469.5976541857892,1538.1365199111017
2025-05-30,GAME20250530DBYS0285,DeNA,ヤクルト,6,2,横　浜,18:01,1524.6683135408296,1403.7262224747503,0.7104714463684664,5.790571072630673,1530.4588846134602,1397.9356514021197
2025-05-30,GAME20250530HCHT0287,広島,阪神,2,5,マツダスタジアム,18:01,1527.5146417477802,1536.3566481397493,0.537573411981517,-10.75146823963034,1516.7631735081497,1547.1081163793797
2025-05-31,GAME20250531HCHT0293,広島,阪神,0,2,マツダスタジアム,14:00,1516.7631735081497,1547.1081163793797,0.5066987648810726,-10.13397529762145,1506.6291982105283,1557.242091677001
