date,game_id,home,away,home_score,away_score,stadium,start_time
2025-07-01,GAME20250701HTYG0431,阪神,巨人,2,1,甲子園,18:01
2025-07-01,GAME20250701DBCD0428,DeNA,中日,3,2,横　浜,18:15
2025-07-02,GAME20250702DBCD0434,DeNA,中日,4,3,横　浜,18:01
2025-07-02,GAME20250702HCYS0435,広島,ヤクルト,2,1,マツダスタジアム,18:01
2025-07-02,GAME20250702HTYG0437,阪神,巨人,1,0,甲子園,18:01
2025-07-03,GAME20250703HCYS0441,広島,ヤクルト,0,5,マツダスタジアム,18:00
2025-07-03,GAME20250703DBCD0440,DeNA,中日,8,5,横　浜,18:01
2025-07-03,GAME20250703HTYG0442,阪神,巨人,3,2,甲子園,18:01
2025-07-04,GAME20250704CDYS0446,中日,ヤクルト,2,1,バンテリンドーム,18:00
2025-07-04,GAME20250704YGHC0447,巨人,広島,1,0,東京ドーム,18:00
2025-07-04,GAME20250704DBHT0445,DeNA,阪神,1,7,横　浜,18:01
2025-07-05,GAME20250705CDYS0452,中日,ヤクルト,4,6,バンテリンドーム,14:00
2025-07-05,GAME20250705YGHC0453,巨人,広島,0,0,東京ドーム,18:00
2025-07-05,GAME20250705DBHT0451,DeNA,阪神,0,3,横　浜,18:01
2025-07-06,GAME20250706CDYS0458,中日,ヤクルト,4,5,バンテリンドーム,13:30
2025-07-06,GAME20250706YGHC0459,巨人,広島,2,3,東京ドーム,14:00
2025-07-06,GAME20250706DBHT0457,DeNA,阪神,1,5,横　浜,18:00
2025-07-08,GAME20250708YGCD0464,巨人,中日,5,4,山　形,18:00
2025-07-08,GAME20250708YSDB0462,ヤクルト,DeNA,0,4,神　宮,18:00
2025-07-08,GAME20250708HCHT0465,広島,阪神,1,6,マツダスタジアム,18:01
2025-07-09,GAME20250709YGCD0470,巨人,中日,2,3,福　島,18:00
2025-07-09,GAME20250709YSDB0468,ヤクルト,DeNA,4,4,神　宮,18:00
2025-07-09,GAME20250709HCHT0471,広島,阪神,1,3,マツダスタジアム,18:30
2025-07-10,GAME20250710HCHT0474,広島,阪神,3,6,マツダスタジアム,18:00
2025-07-11,GAME20250711CDHC0478,中日,広島,2,1,バンテリンドーム,18:00
2025-07-11,GAME20250711DBYG0476,DeNA,巨人,1,2,横　浜,18:00
2025-07-11,GAME20250711HTYS0481,阪神,ヤクルト,3,6,甲子園,18:01
