日付,ゲームタイプ,球団,ホーム・ビジター,スコア,対戦球団,GameID
2026-05-01,公式戦,日本ハム,ホーム,5,オリックス,NPB20260501FB04
2026-05-01,公式戦,オリックス,ビジター,1,日本ハム,NPB20260501FB04
2026-05-01,公式戦,広島,ホーム,7,中日,NPB20260501HCCD03
2026-05-01,公式戦,中日,ビジター,3,広島,NPB20260501HCCD03
2026-05-01,公式戦,阪神,ホーム,3,巨人,NPB20260501HTYG02
2026-05-01,公式戦,巨人,ビジター,5,阪神,NPB20260501HTYG02
2026-05-01,公式戦,ロッテ,ホーム,0,西武,NPB20260501ML05
2026-05-01,公式戦,西武,ビジター,10,ロッテ,NPB20260501ML05
2026-05-01,公式戦,ソフトバンク,ホーム,4,楽天,NPB20260501SHE06
2026-05-01,公式戦,楽天,ビジター,1,ソフトバンク,NPB20260501SHE06
2026-05-01,公式戦,ヤクルト,ホーム,16,DeNA,NPB20260501YSDB01
2026-05-01,公式戦,DeNA,ビジター,5,ヤクルト,NPB20260501YSDB01
2026-05-02,公式戦,日本ハム,ホーム,9,オリックス,NPB20260502FB04
2026-05-02,公式戦,オリックス,ビジター,10,日本ハム,NPB20260502FB04
2026-05-02,公式戦,広島,ホーム,0,中日,NPB20260502HCCD03
2026-05-02,公式戦,中日,ビジター,4,広島,NPB20260502HCCD03
2026-05-02,公式戦,阪神,ホーム,7,巨人,NPB20260502HTYG02
2026-05-02,公式戦,巨人,ビジター,5,阪神,NPB20260502HTYG02
2026-05-02,公式戦,ロッテ,ホーム,4,西武,NPB20260502ML05
2026-05-02,公式戦,西武,ビジター,5,ロッテ,NPB20260502ML05
2026-05-02,公式戦,ソフトバンク,ホーム,5,楽天,NPB20260502SHE06
2026-05-02,公式戦,楽天,ビジター,0,ソフトバンク,NPB20260502SHE06
