date,game_id,home,away,home_score,away_score,stadium,start_time
2026-06-02,NPB20260602CDSH04,中日,ソフトバンク,0,3,バンテリンドーム,18:00
2026-06-02,NPB20260602DBE03,DeNA,楽天,3,7,横 浜,18:00
2026-06-02,NPB20260602YGB01,巨人,オリックス,3,2,東京ドーム,18:00
2026-06-02,NPB20260602YSM02,ヤクルト,ロッテ,0,5,神 宮,18:00
2026-06-03,NPB20260603CDSH04,中日,ソフトバンク,5,8,バンテリンドーム,18:00
2026-06-03,NPB20260603DBE03,DeNA,楽天,0,2,横 浜,18:00
2026-06-03,NPB20260603HCF06,広島,日本ハム,3,1,マツダスタジアム,18:00
2026-06-03,NPB20260603HTL05,阪神,西武,2,3,甲子園,18:00
2026-06-03,NPB20260603YGB01,巨人,オリックス,5,4,東京ドーム,18:00
2026-06-03,NPB20260603YSM02,ヤクルト,ロッテ,1,0,神 宮,18:00
2026-06-04,NPB20260604CDSH04,中日,ソフトバンク,1,2,バンテリンドーム,18:00
2026-06-04,NPB20260604DBE03,DeNA,楽天,8,7,横 浜,18:00
2026-06-04,NPB20260604HCF06,広島,日本ハム,2,5,マツダスタジアム,18:00
2026-06-04,NPB20260604HTL05,阪神,西武,2,4,甲子園,18:00
2026-06-04,NPB20260604YGB01,巨人,オリックス,2,1,東京ドーム,18:00
2026-06-04,NPB20260604YSM02,ヤクルト,ロッテ,2,5,神 宮,18:00
2026-06-05,NPB20260605CDL04,中日,西武,1,0,バンテリンドーム,18:00
2026-06-05,NPB20260605DBSH03,DeNA,ソフトバンク,8,3,横 浜,18:00
2026-06-05,NPB20260605HCB06,広島,オリックス,2,2,マツダスタジアム,18:00
2026-06-05,NPB20260605HTE05,阪神,楽天,8,1,甲子園,18:00
2026-06-05,NPB20260605YGM01,巨人,ロッテ,8,2,東京ドーム,18:00
2026-06-05,NPB20260605YSF02,ヤクルト,日本ハム,1,3,神 宮,18:00
2026-06-06,NPB20260606CDL04,中日,西武,2,5,バンテリンドーム,14:00
2026-06-06,NPB20260606DBSH03,DeNA,ソフトバンク,3,6,横 浜,14:00
2026-06-06,NPB20260606HCB06,広島,オリックス,7,4,マツダスタジアム,14:00
2026-06-06,NPB20260606HTE05,阪神,楽天,1,0,甲子園,14:00
2026-06-06,NPB20260606YSF02,ヤクルト,日本ハム,0,2,神 宮,14:00
2026-06-06,NPB20260606YGM01,巨人,ロッテ,1,1,東京ドーム,18:00
2026-06-07,NPB20260607CDL04,中日,西武,1,4,バンテリンドーム,13:30
2026-06-07,NPB20260607HCB05,広島,オリックス,5,2,マツダスタジアム,13:30
2026-06-07,NPB20260607DBSH03,DeNA,ソフトバンク,2,4,横 浜,14:00
2026-06-07,NPB20260607HTE05,阪神,楽天,5,2,甲子園,14:00
2026-06-07,NPB20260607YGM01,巨人,ロッテ,2,2,東京ドーム,14:00
2026-06-07,NPB20260607YSF02,ヤクルト,日本ハム,1,7,神 宮,14:00
2026-06-09,NPB20260609BYS05,オリックス,ヤクルト,4,3,京セラD大阪,18:00
2026-06-09,NPB20260609EYG02,楽天,巨人,2,8,楽天モバイル,18:00
2026-06-09,NPB20260609FDB01,日本ハム,DeNA,4,1,エスコンＦ,18:00
2026-06-09,NPB20260609LHC03,西武,広島,4,3,ベルーナドーム,18:00
2026-06-09,NPB20260609MCD04,ロッテ,中日,3,1,ZOZOマリン,18:00
2026-06-09,NPB20260609SHHT06,ソフトバンク,阪神,10,4,みずほPayPay,18:00
